hours_forecast,datetime,country,city,temp,temp_feels_like,weather,weather_description,pop,wind_speed_m_s,clouds_percentage,pressure_level,humidity_percentage
1,2024-03-29 11:00:00,IT,Milan,8.85,7.66,Rain,light rain,1,2.24,80,1012,94
2,2024-03-29 12:00:00,IT,Milan,8.96,7.61,Clouds,broken clouds,0.8,2.47,75,1012,95
3,2024-03-29 13:00:00,IT,Milan,9.15,7.95,Clouds,broken clouds,0.78,2.32,80,1012,94
4,2024-03-29 14:00:00,IT,Milan,9.58,8.88,Clouds,overcast clouds,0.87,1.8,85,1012,93
5,2024-03-29 15:00:00,IT,Milan,9.61,9.35,Clouds,overcast clouds,0.48,1.37,90,1013,93
6,2024-03-29 16:00:00,IT,Milan,9.78,9.38,Clouds,overcast clouds,0.49,1.52,95,1012,93
7,2024-03-29 17:00:00,IT,Milan,10.91,10.35,Clouds,overcast clouds,0.25,2.25,100,1012,88
8,2024-03-29 18:00:00,IT,Milan,10.96,10.44,Clouds,overcast clouds,0.05,1.97,100,1012,89
9,2024-03-29 19:00:00,IT,Milan,10.68,10.15,Clouds,overcast clouds,0.05,1.85,100,1011,90
10,2024-03-29 20:00:00,IT,Milan,9.91,9.35,Clouds,overcast clouds,0.05,1.7,100,1012,92
11,2024-03-29 21:00:00,IT,Milan,9.5,8.67,Clouds,overcast clouds,0,1.93,100,1012,93
12,2024-03-29 22:00:00,IT,Milan,9.41,9.12,Clouds,overcast clouds,0,1.37,100,1012,93
13,2024-03-29 23:00:00,IT,Milan,9.38,9.38,Clouds,overcast clouds,0,1.12,100,1012,92
14,2024-03-30 00:00:00,IT,Milan,9.55,9.55,Rain,light rain,0.2,1.28,100,1012,93
15,2024-03-30 01:00:00,IT,Milan,9.61,9.61,Rain,light rain,0.2,0.33,100,1012,93
16,2024-03-30 02:00:00,IT,Milan,9.72,9.72,Clouds,overcast clouds,0.02,0.91,100,1011,94
17,2024-03-30 03:00:00,IT,Milan,9.64,9.64,Clouds,overcast clouds,0.07,1.2,100,1011,96
18,2024-03-30 04:00:00,IT,Milan,9.6,9.6,Clouds,overcast clouds,0.14,0.77,100,1010,96
19,2024-03-30 05:00:00,IT,Milan,9.64,9.64,Rain,light rain,0.37,1.11,100,1009,97
20,2024-03-30 06:00:00,IT,Milan,9.53,9.53,Clouds,overcast clouds,0.14,1.25,100,1009,97
21,2024-03-30 07:00:00,IT,Milan,9.42,9.42,Clouds,overcast clouds,0.23,1.18,100,1009,96
22,2024-03-30 08:00:00,IT,Milan,9.63,9.11,Clouds,overcast clouds,0.2,1.61,100,1009,97
23,2024-03-30 09:00:00,IT,Milan,10.23,9.84,Rain,light rain,0.35,2.23,100,1009,97
24,2024-03-30 10:00:00,IT,Milan,11.1,10.8,Clouds,overcast clouds,0.41,3.07,100,1009,97
25,2024-03-30 11:00:00,IT,Milan,12.26,11.97,Rain,light rain,0.6,3.61,100,1009,93
26,2024-03-30 12:00:00,IT,Milan,13.97,13.64,Rain,light rain,0.7,5.07,100,1008,85
27,2024-03-30 13:00:00,IT,Milan,15.12,14.78,Rain,light rain,0.91,6.57,100,1007,80
28,2024-03-30 14:00:00,IT,Milan,15.54,15.24,Rain,light rain,1,7.51,100,1006,80
29,2024-03-30 15:00:00,IT,Milan,16.28,16.03,Rain,light rain,0.9,7.34,100,1005,79
30,2024-03-30 16:00:00,IT,Milan,14.52,14.19,Rain,moderate rain,1,7.43,100,1004,83
31,2024-03-30 17:00:00,IT,Milan,14.12,13.81,Rain,moderate rain,1,7.16,100,1003,85
32,2024-03-30 18:00:00,IT,Milan,13.75,13.3,Rain,moderate rain,1,6.46,100,1003,81
33,2024-03-30 19:00:00,IT,Milan,12.89,12.43,Rain,light rain,1,5.66,100,1002,84
34,2024-03-30 20:00:00,IT,Milan,12.32,11.77,Clouds,overcast clouds,0.8,6.5,100,1001,83
35,2024-03-30 21:00:00,IT,Milan,12.3,11.81,Rain,light rain,0.69,6.62,100,1001,85
36,2024-03-30 22:00:00,IT,Milan,12.41,12.03,Rain,moderate rain,0.97,6.89,100,1001,89
37,2024-03-30 23:00:00,IT,Milan,11.88,11.63,Rain,heavy intensity rain,1,6.33,100,1001,96
38,2024-03-31 00:00:00,IT,Milan,10.67,10.3,Rain,heavy intensity rain,1,3.82,100,1003,96
39,2024-03-31 01:00:00,IT,Milan,10.52,10.13,Rain,moderate rain,1,2.21,100,1003,96
40,2024-03-31 02:00:00,IT,Milan,10.3,9.87,Clouds,overcast clouds,0.8,1.49,99,1004,95
41,2024-03-31 04:00:00,IT,Milan,9.67,9.67,Clouds,few clouds,0,1.26,18,1005,96
42,2024-03-31 05:00:00,IT,Milan,10.05,9.59,Clouds,scattered clouds,0,2.1,47,1005,95
43,2024-03-31 06:00:00,IT,Milan,9.63,9.26,Clouds,scattered clouds,0,1.47,38,1005,92
44,2024-03-31 07:00:00,IT,Milan,9.52,9.03,Clouds,broken clouds,0,1.57,55,1005,90
45,2024-03-31 08:00:00,IT,Milan,9.46,8.77,Clouds,broken clouds,0,1.77,64,1006,90
46,2024-03-31 09:00:00,IT,Milan,9.89,9.12,Clouds,broken clouds,0,1.93,70,1006,89
47,2024-03-31 10:00:00,IT,Milan,9.82,9.2,Rain,light rain,0.99,1.75,100,1007,92
48,2024-03-31 11:00:00,IT,Milan,9.58,8.22,Rain,light rain,1,2.65,100,1007,94
1,2024-03-29 11:00:00,IT,Bologna,18,17.63,Clouds,overcast clouds,0,2.44,100,1012,68
2,2024-03-29 12:00:00,IT,Bologna,18.51,18.14,Clouds,overcast clouds,0,4.8,100,1012,66
3,2024-03-29 13:00:00,IT,Bologna,18.68,18.27,Clouds,overcast clouds,0,5.65,100,1012,64
4,2024-03-29 14:00:00,IT,Bologna,19.2,18.77,Clouds,overcast clouds,0,5.44,100,1012,61
5,2024-03-29 15:00:00,IT,Bologna,20.05,19.63,Clouds,overcast clouds,0,4.56,100,1011,58
